Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\Optical Daughter\Project Outputs for Digital_Optical_Daughter_12Tx_1vXX\Pick Place\PickPlace_Digital_Optical_Daughter_12Tx_1vXX_1v01.txt

========================================================================================================================
File Design Information:

Date:       10.06.20
Time:       12:33
Revision:   1e748aa3fd33b7cf63446807858ad3da0c016492
Variant:    NoVariation
Units used: mm

Designator   Footprint          Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                    
R21          R_0603_N           27.3304      80.6958      27.3304   80.6958   27.3304   81.4958   270      TopLayer    4.7k                       
D3           WL-SMCW_0603       27.3304      83.7438      27.3304   83.7438   27.3304   84.5438   270      TopLayer    150060RS75000              
MH2          MH_2.8             -59.4700     5.5500       43.9020   5.8920    -59.4700  5.5500    0        TopLayer    MH_2.8                     
MH1          MH_2.8             -59.4700     94.4500      44.4100   93.9300   -59.4700  94.4500   0        TopLayer    MH_2.8                     
X1           TST-112-01-G-D     -11.0700     11.4300      -11.0700  11.4300   -25.0400  10.1600   360      TopLayer    "2x12 Header .100''"       
X3           IPL1-102-01-L-D-K  16.2300      10.5600      16.2300   10.5600   17.5000   9.2900    180      TopLayer    IPL1-102-01-L-D-K          
P1           HDR1X12            -9.8298      21.6154      4.1402    21.6154   4.1402    21.6154   180      TopLayer    "Header 12"                
UBF          HFBRx5XX           39.2430      72.4230      35.4330   68.6130   35.4330   68.6130   270      BottomLayer "Optical Transceiver"      
UBE          HFBRx5XX           39.2590      62.2300      35.4490   58.4200   35.4490   58.4200   270      BottomLayer "Optical Transceiver"      
UBD          HFBRx5XX           39.2143      52.0475      35.4043   48.2375   35.4043   48.2375   270      BottomLayer "Optical Transceiver"      
UBC          HFBRx5XX           39.2050      41.9100      35.3950   38.1000   35.3950   38.1000   270      BottomLayer "Optical Transceiver"      
UBB          HFBRx5XX           39.2040      31.7500      35.3940   27.9400   35.3940   27.9400   270      BottomLayer "Optical Transceiver"      
UBA          HFBRx5XX           39.2050      21.5900      35.3950   17.7800   35.3950   17.7800   270      BottomLayer "Optical Transceiver"      
UAF          HFBRx5XX           43.4340      72.4230      39.6240   76.2330   39.6240   76.2330   90       TopLayer    "Optical Transceiver"      
UAE          HFBRx5XX           43.4500      62.2300      39.6400   66.0400   39.6400   66.0400   90       TopLayer    "Optical Transceiver"      
UAD          HFBRx5XX           43.4053      52.0475      39.5953   55.8575   39.5953   55.8575   90       TopLayer    "Optical Transceiver"      
UAC          HFBRx5XX           43.3960      41.9100      39.5860   45.7200   39.5860   45.7200   90       TopLayer    "Optical Transceiver"      
UAB          HFBRx5XX           43.3950      31.7500      39.5850   35.5600   39.5850   35.5600   90       TopLayer    "Optical Transceiver"      
UAA          HFBRx5XX           43.3960      21.5900      39.5860   25.4000   39.5860   25.4000   90       TopLayer    "Optical Transceiver"      
U1F          SOIC127P600X175-8N 14.3510      71.7880      14.3510   71.7880   12.4460   69.0880   90       TopLayer    "Buffer/Line Driver"       
U1E          SOIC127P600X175-8N 14.3670      61.5950      14.3670   61.5950   12.4620   58.8950   90       TopLayer    "Buffer/Line Driver"       
U1D          SOIC127P600X175-8N 14.3223      51.4125      14.3223   51.4125   12.4173   48.7125   90       TopLayer    "Buffer/Line Driver"       
U1C          SOIC127P600X175-8N 14.3130      41.2750      14.3130   41.2750   12.4080   38.5750   90       TopLayer    "Buffer/Line Driver"       
U1B          SOIC127P600X175-8N 14.3120      31.1150      14.3120   31.1150   12.4070   28.4150   90       TopLayer    "Buffer/Line Driver"       
U1A          SOIC127P600X175-8N 14.3130      20.9550      14.3130   20.9550   12.4080   18.2550   90       TopLayer    "Buffer/Line Driver"       
Serial1      Serial_6.3x6.3mm   -66.9290     -47.4980     -17.5245  62.0268   -66.9290  -47.4980  180      TopLayer    "Serialnumber 6,3 x 6.3mm" 
R10F         R_0603_N           16.2560      76.3600      16.2560   76.3600   17.0560   76.3600   180      TopLayer    2k                         
R10E         R_0603_N           16.2720      66.1670      16.2720   66.1670   17.0720   66.1670   180      TopLayer    2k                         
R10D         R_0603_N           16.2273      55.9845      16.2273   55.9845   17.0273   55.9845   180      TopLayer    2k                         
R10C         R_0603_N           16.2180      45.8470      16.2180   45.8470   17.0180   45.8470   180      TopLayer    2k                         
R10B         R_0603_N           16.2170      35.6870      16.2170   35.6870   17.0170   35.6870   180      TopLayer    2k                         
R10A         R_0603_N           16.2180      25.5270      16.2180   25.5270   17.0180   25.5270   180      TopLayer    2k                         
R9F          R_0603_N           25.4000      70.1370      25.4000   70.1370   26.2000   70.1370   180      TopLayer    2k                         
R9E          R_0603_N           25.4160      59.9440      25.4160   59.9440   26.2160   59.9440   180      TopLayer    2k                         
R9D          R_0603_N           25.3713      49.7615      25.3713   49.7615   26.1713   49.7615   180      TopLayer    2k                         
R9C          R_0603_N           25.3620      39.6240      25.3620   39.6240   26.1620   39.6240   180      TopLayer    2k                         
R9B          R_0603_N           25.3610      29.4640      25.3610   29.4640   26.1610   29.4640   180      TopLayer    2k                         
R9A          R_0603_N           25.3620      19.3040      25.3620   19.3040   26.1620   19.3040   180      TopLayer    2k                         
