Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_D_optical_daugther_12tx\Project Outputs for UZ_D_Optical_Daughter\Rev02\Pick Place\Pick Place for UZ_D_Optical_Daughter(00-12Tx).csv

========================================================================================================================
File Design Information:

Date:       25.08.25
Time:       14:58
Revision:   3d37e53b77d7c414fa3369978ac0cceb13cc9f33
Variant:    00-12Tx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C9D","C_0603(1608)100_L","79.6400","79.6400","60.3150","60.3150","79.6400","61.0150","270","100nF","TopLayer",""
"C9E","C_0603(1608)100_L","79.6010","79.6010","54.8260","54.8260","79.6010","55.5260","270","100nF","TopLayer",""
"C9B","C_0603(1608)100_L","79.7150","79.7150","70.2650","70.2650","79.7150","70.9650","270","100nF","TopLayer",""
"C9C","C_0603(1608)100_L","79.6400","79.6400","64.8150","64.8150","79.6400","65.5150","270","100nF","TopLayer",""
"C9F","C_0603(1608)100_L","79.6400","79.6400","49.8150","49.8150","79.6400","50.5150","270","100nF","TopLayer",""
"C9G","C_0603(1608)100_L","79.6260","79.6260","44.4260","44.4260","79.6260","45.1260","270","100nF","TopLayer",""
"C9H","C_0603(1608)100_L","79.6400","79.6400","39.7900","39.7900","79.6400","40.4900","270","100nF","TopLayer",""
"C9I","C_0603(1608)100_L","79.6400","79.6400","34.4900","34.4900","79.6400","35.1900","270","100nF","TopLayer",""
"C9J","C_0603(1608)100_L","79.6400","79.6400","30.2150","30.2150","79.6400","30.9150","270","100nF","TopLayer",""
"C9K","C_0603(1608)100_L","79.6400","79.6400","24.2900","24.2900","79.6400","24.9900","270","100nF","TopLayer",""
"C9L","C_0603(1608)100_L","79.6400","79.6400","19.4900","19.4900","79.6400","20.1900","270","100nF","TopLayer",""
"C9A","C_0603(1608)100_L","79.6400","79.6400","74.9150","74.9150","79.6400","75.6150","270","100nF","TopLayer",""
"C8D","CAP_2012X06N","77.8500","77.8500","60.3130","60.3130","77.8500","61.2380","270","4.7µF","TopLayer",""
"C8E","CAP_2012X06N","77.8100","77.8100","54.8240","54.8240","77.8100","55.7490","270","4.7µF","TopLayer",""
"C8B","CAP_2012X06N","77.9250","77.9250","70.2630","70.2630","77.9250","71.1880","270","4.7µF","TopLayer",""
"C8C","CAP_2012X06N","77.8500","77.8500","64.8130","64.8130","77.8500","65.7380","270","4.7µF","TopLayer",""
"C8F","CAP_2012X06N","77.8500","77.8500","49.8130","49.8130","77.8500","50.7380","270","4.7µF","TopLayer",""
"C8G","CAP_2012X06N","77.8360","77.8360","44.4240","44.4240","77.8360","45.3490","270","4.7µF","TopLayer",""
