Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_D_optical_daugther_12tx\Project Outputs for UZ_D_Optical_Daughter\Rev02\Pick Place\Pick_and_Place_UZ_D_Optical_Daughter_01-12Rx_Rev02.csv

========================================================================================================================
File Design Information:

Date:       28.08.25
Time:       09:38
Revision:   e507975b3453ee617c9ebb76bca5ee5636bb69f2
Variant:    01-12Rx
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C9D","C_0603(1608)100_L","76.6400","76.6400","60.3150","60.3150","76.6400","61.0150","270","100nF","TopLayer",""
"C9E","C_0603(1608)100_L","76.6010","76.6010","54.8260","54.8260","76.6010","55.5260","270","100nF","TopLayer",""
"C9B","C_0603(1608)100_L","76.7150","76.7150","70.2650","70.2650","76.7150","70.9650","270","100nF","TopLayer",""
"C9C","C_0603(1608)100_L","76.6400","76.6400","64.8150","64.8150","76.6400","65.5150","270","100nF","TopLayer",""
"C9F","C_0603(1608)100_L","76.6400","76.6400","49.8150","49.8150","76.6400","50.5150","270","100nF","TopLayer",""
"C9G","C_0603(1608)100_L","76.6260","76.6260","44.4260","44.4260","76.6260","45.1260","270","100nF","TopLayer",""
"C9H","C_0603(1608)100_L","76.6400","76.6400","39.7900","39.7900","76.6400","40.4900","270","100nF","TopLayer",""
"C9I","C_0603(1608)100_L","76.6400","76.6400","34.4900","34.4900","76.6400","35.1900","270","100nF","TopLayer",""
"C9J","C_0603(1608)100_L","76.6400","76.6400","30.2150","30.2150","76.6400","30.9150","270","100nF","TopLayer",""
"C9K","C_0603(1608)100_L","76.6400","76.6400","24.2900","24.2900","76.6400","24.9900","270","100nF","TopLayer",""
"C9L","C_0603(1608)100_L","76.6400","76.6400","19.4900","19.4900","76.6400","20.1900","270","100nF","TopLayer",""
"C9A","C_0603(1608)100_L","76.6400","76.6400","74.9150","74.9150","76.6400","75.6150","270","100nF","TopLayer",""
"C8D","CAP_2012X06N","74.8500","74.8500","60.3130","60.3130","74.8500","61.2380","270","4.7µF","TopLayer",""
